t,V
0,15.6963
0.974,15.6873
1.912,15.6778
2.851,15.6731
3.831,15.6638
4.83,15.6542
5.831,15.6478
6.83,15.6383
7.83,15.631
8.83,15.6208
9.831,15.6129
10.83,15.6036
11.83,15.5944
12.831,15.5866
13.83,15.578
14.83,15.5695
15.83,15.5604
16.83,15.551
17.83,15.5424
18.83,15.5334
19.83,15.526
20.83,15.5151
21.83,15.5072
22.83,15.4973
23.831,15.4896
24.83,15.4802
25.831,15.4707
26.83,15.4614
27.83,15.4523
28.83,15.443
29.83,15.4336
30.83,15.4241
31.83,15.4166
32.83,15.405
33.831,15.3962
34.83,15.3866
35.831,15.377
36.83,15.3675
37.83,15.3582
38.83,15.3482
39.83,15.3396
40.83,15.3297
41.83,15.32
42.83,15.3116
43.83,15.3029
44.83,15.2923
45.83,15.283
46.831,15.2744
47.83,15.2652
48.831,15.256
49.83,15.2475
50.831,15.2381
51.83,15.2289
52.83,15.2193
53.831,15.2107
54.83,15.2011
55.831,15.1936
56.83,15.1862
57.83,15.1749
58.831,15.1665
59.83,15.1568
60.831,15.1484
61.83,15.1398
62.83,15.1312
63.83,15.1228
64.83,15.1143
65.831,15.1052
66.83,15.0958
67.83,15.0883
68.831,15.078
69.83,15.0692
70.83,15.0616
71.83,15.0523
72.83,15.0433
73.831,15.0344
74.83,15.0259
75.83,15.0171
76.831,15.0085
77.83,15.0005
78.831,14.9905
79.831,14.9814
80.83,14.9742
81.83,14.9648
82.831,14.9569
83.83,14.948
84.831,14.9395
85.83,14.9306
86.831,14.9214
87.831,14.9133
88.83,14.9052
89.831,14.8962
90.83,14.8887
91.83,14.8792
92.831,14.8717
93.83,14.8622
94.83,14.8549
95.831,14.8455
96.83,14.8371
97.831,14.8282
98.83,14.8203
99.83,14.812
100.831,14.8036
101.831,14.7945
102.83,14.7858
103.83,14.7792
104.831,14.7701
105.83,14.7598
106.83,14.7528
107.831,14.7441
108.831,14.7356
109.83,14.7269
110.83,14.7189
111.83,14.7104
112.83,14.702
113.83,14.6934
114.83,14.685
115.83,14.6766
116.831,14.6677
117.83,14.6601
118.83,14.6522
119.83,14.6431
120.831,14.6353
121.83,14.6268
122.83,14.6184
123.83,14.6086
124.83,14.6014
125.831,14.5936
126.83,14.5855
127.83,14.5783
128.831,14.5692
129.831,14.5573
130.83,14.5542
131.83,14.5454
132.83,14.5374
133.831,14.5294
134.83,14.522
135.83,14.5147
136.83,14.5067
137.83,14.4981
138.83,14.4899
139.83,14.4818
140.83,14.4741
141.83,14.4656
142.831,14.458
143.83,14.4498
144.83,14.4419
145.83,14.4339
146.83,14.4258
147.83,14.4182
148.831,14.41
149.83,14.4025
150.83,14.3944
151.831,14.3869
152.83,14.3791
153.83,14.3698
154.83,14.363
155.83,14.3557
156.831,14.3484
157.83,14.3406
158.83,14.3326
159.83,14.3253
160.83,14.3175
161.831,14.3108
162.83,14.3039
163.83,14.2956
164.83,14.2878
165.831,14.2817
166.83,14.2722
167.83,14.265
168.83,14.2571
169.831,14.2506
170.83,14.2422
171.83,14.234
172.83,14.2272
173.831,14.2205
174.83,14.2121
175.83,14.2041
176.83,14.197
177.831,14.1895
178.83,14.1823
179.83,14.1738
180.831,14.1675
181.831,14.1598
182.831,14.1527
183.83,14.1452
184.83,14.1384
185.83,14.1306
186.831,14.1239
187.83,14.1154
188.83,14.108
189.831,14.1014
190.831,14.0928
191.83,14.0851
192.83,14.0786
193.83,14.0698
194.831,14.0634
195.831,14.0564
196.83,14.0481
197.83,14.04
198.83,14.0335
199.83,14.0256
200.831,14.0178
201.831,14.0118
202.83,14.0038
203.83,13.9951
204.83,13.9883
205.831,13.9813
206.831,13.9734
207.83,13.9648
208.83,13.9577
209.83,13.9502
210.83,13.9439
211.83,13.9359
212.831,13.9283
213.83,13.9191
214.831,13.9132
215.83,13.9051
216.83,13.8974
217.83,13.8903
218.83,13.8833
219.831,13.8754
220.83,13.8671
221.83,13.8593
222.83,13.8515
223.83,13.8449
224.83,13.8367
225.831,13.8303
226.83,13.8229
227.83,13.8161
228.83,13.8096
229.831,13.8019
230.83,13.7951
231.83,13.7884
232.83,13.7811
233.831,13.7742
234.83,13.7674
235.83,13.7603
236.83,13.7534
237.83,13.7466
238.831,13.7393
239.831,13.733
240.831,13.7258
241.83,13.7199
242.83,13.7121
243.83,13.7058
244.831,13.6986
245.831,13.6917
246.83,13.6848
247.83,13.6779
248.83,13.6714
249.83,13.6642
250.83,13.6571
251.831,13.6493
252.831,13.6422
253.831,13.6357
254.831,13.629
255.831,13.6213
256.831,13.6143
257.83,13.6078
258.83,13.6003
259.83,13.5931
260.83,13.5857
261.831,13.5786
262.831,13.5713
263.831,13.5648
264.83,13.5572
265.83,13.5501
266.831,13.5429
267.831,13.5367
268.83,13.5295
269.83,13.5221
270.83,13.5158
271.83,13.5084
272.831,13.5009
273.831,13.4934
274.83,13.4869
275.83,13.4804
276.83,13.4738
277.83,13.4665
278.83,13.4595
279.83,13.4518
280.831,13.4455
281.831,13.4389
282.83,13.4319
283.831,13.4248
284.831,13.4166
285.831,13.4105
286.83,13.4037
287.83,13.3958
288.83,13.3896
289.83,13.3828
290.83,13.3764
291.83,13.3687
292.83,13.3623
293.83,13.3525
294.83,13.3496
295.83,13.3408
296.83,13.3349
297.83,13.3284
298.83,13.3211
299.83,13.3141
300.83,13.3078
301.83,13.2998
302.83,13.2933
303.83,13.2875
304.83,13.2795
305.83,13.2736
306.83,13.266
307.83,13.2596
308.83,13.2525
309.83,13.2448
310.83,13.2382
311.83,13.2312
312.83,13.2234
313.831,13.217
314.831,13.2106
315.831,13.2033
316.831,13.1964
317.831,13.1908
318.831,13.1831
319.831,13.1763
320.831,13.1705
321.831,13.1636
322.831,13.1565
323.831,13.1503
324.831,13.1444
325.831,13.1381
326.831,13.1308
327.831,13.1254
328.831,13.1191
329.83,13.1129
330.831,13.1059
331.831,13.1006
332.831,13.0937
333.831,13.0876
334.831,13.0804
335.83,13.0754
336.83,13.0684
337.83,13.0621
338.83,13.0551
339.83,13.0486
340.83,13.0415
341.83,13.0354
342.83,13.0289
343.831,13.0228
344.831,13.0164
345.831,13.0092
346.831,13.0036
347.831,12.9965
348.831,12.9899
349.831,12.9839
350.83,12.977
351.83,12.9706
352.83,12.9641
353.83,12.9577
354.83,12.9516
355.83,12.9437
356.831,12.9393
357.831,12.9335
358.831,12.9245
359.83,12.9183
360.83,12.9128
361.83,12.9048
362.83,12.8985
363.83,12.8921
364.83,12.8864
365.83,12.8795
366.83,12.8736
367.831,12.8668
368.83,12.8596
369.831,12.8532
370.831,12.8463
371.831,12.8399
372.83,12.8334
373.83,12.8266
374.83,12.8194
375.83,12.8146
376.831,12.8083
377.83,12.7998
378.83,12.7938
379.83,12.7881
380.831,12.7821
381.831,12.7757
382.83,12.7682
383.831,12.763
384.83,12.7539
385.83,12.7493
386.83,12.7424
387.831,12.7358
388.831,12.7291
389.831,12.7243
390.83,12.7178
391.83,12.7118
392.83,12.7046
393.831,12.6988
394.831,12.6932
395.83,12.6876
396.83,12.6812
397.83,12.6747
398.83,12.6689
399.83,12.6634
400.83,12.6567
401.83,12.6514
402.83,12.6457
403.831,12.6392
404.831,12.6333
405.83,12.6275
406.83,12.6213
407.83,12.6143
408.831,12.6089
409.831,12.6037
410.83,12.5985
411.83,12.5924
412.83,12.5864
413.83,12.5799
414.83,12.5742
415.83,12.5676
416.831,12.5627
417.831,12.5558
418.831,12.5498
419.831,12.5442
420.83,12.5374
421.83,12.5316
422.83,12.5251
423.831,12.5186
424.831,12.5122
425.83,12.5059
426.83,12.4998
427.83,12.4936
428.831,12.4885
429.831,12.4827
430.831,12.4761
431.83,12.4685
432.83,12.4634
433.83,12.4584
434.83,12.4502
435.831,12.4438
436.83,12.4371
437.83,12.4316
438.831,12.4256
439.83,12.4194
440.83,12.4135
441.83,12.4078
442.83,12.4019
443.831,12.3967
444.83,12.3911
445.83,12.3854
446.83,12.3795
447.831,12.3739
448.83,12.3685
449.83,12.363
450.83,12.3583
451.83,12.3525
452.83,12.3455
453.831,12.3402
454.831,12.3342
455.83,12.3295
456.83,12.3234
457.831,12.3173
458.83,12.3117
459.83,12.3056
460.831,12.3006
461.831,12.2956
462.83,12.2881
463.83,12.2834
464.831,12.2767
465.831,12.2707
466.83,12.2659
467.831,12.2596
468.831,12.2547
469.83,12.2487
470.83,12.243
471.831,12.237
472.83,12.2308
473.83,12.2248
474.831,12.2193
475.83,12.2126
476.83,12.2071
477.83,12.2006
478.831,12.1949
479.83,12.1884
480.83,12.1828
481.83,12.1772
482.83,12.1707
483.831,12.1659
484.83,12.1587
485.83,12.1528
486.83,12.1461
487.83,12.1384
488.831,12.1338
489.83,12.1282
490.831,12.1227
491.831,12.1159
492.83,12.1105
493.831,12.1049
494.831,12.099
495.83,12.095
496.831,12.0893
497.831,12.0826
498.83,12.0778
499.83,12.0714
500.83,12.0661
501.831,12.0593
502.83,12.0547
503.83,12.0492
504.83,12.0415
505.83,12.0375
506.83,12.0329
507.831,12.0272
508.83,12.0209
509.83,12.0159
510.831,12.0091
511.83,12.0044
512.83,11.9978
513.831,11.9925
514.83,11.9873
515.83,11.9826
516.831,11.9757
517.83,11.97
518.83,11.9643
519.83,11.9583
520.831,11.9521
521.83,11.9466
522.83,11.9406
523.831,11.9363
524.831,11.9311
525.83,11.9224
526.83,11.9165
527.831,11.9127
528.83,11.9064
529.83,11.9008
530.831,11.8955
531.83,11.8891
532.83,11.8846
533.83,11.8792
534.831,11.873
535.83,11.868
536.83,11.863
537.83,11.8559
538.831,11.8503
539.83,11.8453
540.83,11.8397
541.831,11.8341
542.83,11.8284
543.83,11.8244
544.831,11.8187
545.83,11.813
546.83,11.8079
547.831,11.802
548.83,11.7963
549.83,11.7914
550.831,11.7856
551.83,11.7804
552.831,11.7752
553.83,11.7688
554.83,11.7639
555.83,11.759
556.831,11.7531
557.83,11.7478
558.83,11.742
559.831,11.7365
560.83,11.7299
561.83,11.7251
562.83,11.7197
563.831,11.714
564.83,11.7076
565.831,11.7031
566.83,11.6976
567.83,11.6918
568.831,11.6867
569.83,11.6813
570.831,11.6761
571.83,11.6711
572.831,11.6655
573.83,11.6598
574.83,11.6547
575.831,11.6482
576.83,11.6437
577.83,11.6377
578.831,11.6315
579.83,11.6269
580.83,11.6215
581.831,11.616
582.83,11.6104
583.831,11.6051
584.83,11.6001
585.83,11.5936
586.831,11.588
587.83,11.5831
588.831,11.5776
589.831,11.5719
590.831,11.5671
591.83,11.5621
592.83,11.5566
593.831,11.5506
594.83,11.5449
595.83,11.5398
596.831,11.5348
597.83,11.5286
598.831,11.5238
599.831,11.5181
600.831,11.5123
601.831,11.5069
602.831,11.502
603.831,11.4963
604.831,11.4897
614.587,11.4394
615.637,11.4287
616.688,11.4285
617.737,11.4177
618.787,11.4167
619.83,11.4115
620.83,11.4048
621.831,11.3992
622.83,11.3955
623.831,11.3889
624.831,11.3845
625.83,11.3794
626.831,11.3737
627.83,11.3686
628.831,11.3628
629.83,11.3572
630.831,11.3496
631.83,11.3468
632.83,11.3422
633.83,11.337
634.83,11.3313
635.83,11.3263
636.83,11.3214
637.83,11.3162
638.83,11.3115
639.83,11.3055
640.83,11.2992
641.83,11.2947
642.831,11.2904
643.83,11.2839
644.831,11.2773
645.83,11.2724
646.83,11.2672
647.83,11.2624
648.83,11.2569
649.83,11.2502
650.83,11.246
651.83,11.2421
652.831,11.2357
653.83,11.2295
654.831,11.2258
655.83,11.2193
656.831,11.2155
657.83,11.21
658.831,11.2056
659.83,11.199
660.831,11.1951
661.83,11.1881
662.831,11.1847
663.83,11.1785
664.831,11.1735
665.83,11.1675
666.83,11.1628
667.83,11.1586
668.83,11.1527
669.83,11.1483
670.831,11.1427
671.83,11.1365
672.831,11.1322
673.83,11.1269
674.831,11.1216
675.83,11.1171
676.831,11.1117
677.831,11.1059
678.83,11.1002
679.831,11.0956
680.83,11.0896
681.831,11.0852
682.83,11.0789
683.83,11.0743
684.831,11.0686
685.83,11.0632
686.83,11.0578
687.83,11.0525
688.831,11.048
689.83,11.0425
690.831,11.0378
691.83,11.0321
692.83,11.0262
693.83,11.0219
694.83,11.0169
695.83,11.0127
696.83,11.0072
697.831,11.003
698.83,10.9977
699.831,10.9943
700.83,10.9869
701.83,10.9865
702.831,10.9794
703.83,10.9745
704.83,10.969
705.831,10.9625
706.83,10.9582
707.83,10.9563
708.83,10.9501
709.83,10.9452
710.831,10.9401
711.83,10.9353
712.831,10.9297
713.83,10.9252
714.83,10.9195
715.831,10.9143
716.83,10.9097
717.831,10.9047
718.83,10.8992
719.831,10.8939
720.831,10.8893
721.83,10.8839
722.83,10.8783
723.83,10.8732
724.83,10.8671
725.831,10.8619
726.831,10.8569
727.83,10.8511
728.83,10.8487
729.831,10.8413
730.83,10.8356
731.83,10.8321
732.831,10.8265
733.831,10.8211
734.83,10.8167
735.83,10.8123
736.83,10.8069
737.83,10.8013
738.831,10.7959
739.831,10.791
740.83,10.7861
741.83,10.7818
742.831,10.7764
743.831,10.7726
744.83,10.7665
745.83,10.7615
746.83,10.7556
747.831,10.7527
748.831,10.746
749.83,10.7423
750.83,10.737
751.83,10.7311
752.83,10.7269
753.83,10.7227
754.83,10.7162
755.83,10.7114
756.831,10.706
757.831,10.7007
758.831,10.6964
759.83,10.6902
760.83,10.6858
761.83,10.6809
762.83,10.6758
763.83,10.6705
764.83,10.6668
765.831,10.6622
766.83,10.6555
767.83,10.6517
768.83,10.6473
769.83,10.6417
770.831,10.6373
771.831,10.6333
772.831,10.6264
773.831,10.6274
774.83,10.6155
775.83,10.613
776.83,10.6085
777.83,10.6037
778.83,10.5991
779.829,10.5941
780.829,10.5899
781.829,10.5851
782.83,10.5793
783.83,10.5751
784.829,10.5701
785.829,10.5648
786.829,10.56
787.829,10.5558
788.829,10.5507
789.83,10.5458
790.83,10.5405
791.829,10.5364
792.829,10.53
793.829,10.5254
794.829,10.521
795.829,10.5151
796.829,10.5109
797.829,10.504
798.83,10.4986
799.83,10.4933
800.83,10.4894
801.83,10.4844
802.829,10.4794
803.829,10.4746
804.83,10.4692
805.829,10.4649
806.829,10.4593
807.83,10.4552
808.829,10.4517
809.829,10.4455
810.83,10.4416
811.829,10.4353
812.829,10.4298
813.83,10.4261
814.829,10.4226
815.829,10.4177
816.829,10.4126
817.83,10.4084
818.83,10.4023
819.829,10.3989
820.829,10.3937
821.829,10.3881
822.829,10.3844
823.83,10.3789
824.829,10.3741
825.829,10.3697
826.829,10.3648
827.83,10.3606
828.83,10.3554
829.829,10.3511
830.83,10.3459
831.83,10.3425
832.829,10.3369
833.829,10.3325
834.829,10.3277
835.83,10.3241
836.829,10.3186
837.829,10.3144
838.829,10.3093
839.829,10.3057
840.829,10.3003
841.83,10.2951
842.83,10.2913
