T,h1,h2
38.96,1.05,56.16
38.01,1.05,53.39
36.96,1.05,50.90
36.00,1.05,48.53
35.00,1.05,45.82
34.01,1.05,43.09
33.01,1.05,41.42
32.02,1.05,39.30
31.04,1.05,37.19
30.01,1.05,36.17
29.02,1.05,33.81
28.03,1.05,31.97
27.00,1.05,30.40
26.02,1.05,28.71
25.06,1.05,27.53
24.00,1.05,25.85
23.07,1.05,24.57
