V,t,K,h
5,63.93,0.3,40
1,33.08,0.3,17
1,20.30,0.3,26
1,16.08,0.3,33
2,28.33,0.3,37
1,11.67,0.3,45
1,63.63,0.3,10
1,26.83,0.3,21
1,12.77,0.3,40
2,20.93,0.3,51
2,19.26,0.3,56
2,17.93,0.3,77
2,16.81,0.3,91
2,15.34,0.3,106
2,14.96,0.3,120
2,13.32,0.3,140
2,12.66,0.3,160
2,11.43,0.3,184
