t (s),V (mV)
312.851,10.6425
313.852,10.6294
314.853,10.617
315.854,10.6045
316.855,10.5923
317.856,10.5791
318.857,10.5669
319.858,10.5538
320.859,10.5407
321.86,10.5277
322.861,10.5148
323.862,10.5021
324.832,10.4896
325.833,10.4775
326.834,10.4655
327.835,10.4534
328.836,10.441
329.837,10.4283
330.838,10.4156
331.839,10.403
332.84,10.3918
333.841,10.3783
334.842,10.3661
335.843,10.3538
336.844,10.3411
337.845,10.3293
338.846,10.3172
339.847,10.3044
340.848,10.2924
341.849,10.2804
342.85,10.2683
343.851,10.2555
344.852,10.2433
345.853,10.2312
346.854,10.219
347.855,10.2066
348.856,10.1972
349.857,10.1847
350.858,10.1719
351.859,10.1606
352.86,10.1485
353.861,10.1368
354.862,10.1294
355.832,10.1162
356.833,10.1049
357.834,10.0929
358.835,10.0807
359.836,10.0684
360.837,10.0556
361.838,10.0431
362.839,10.0311
363.84,10.0186
364.841,10.0058
365.842,9.99322
366.843,9.98082
367.844,9.96808
368.845,9.95533
369.846,9.94258
370.847,9.93055
371.848,9.91843
372.849,9.90713
373.85,9.89595
374.851,9.88476
375.852,9.87411
376.853,9.862
377.854,9.85125
378.855,9.84087
379.856,9.83037
380.857,9.81956
381.859,9.80876
382.86,9.79743
383.861,9.78572
384.862,9.77522
385.863,9.76391
386.832,9.75224
387.833,9.74087
388.834,9.72803
389.835,9.71633
390.836,9.70432
391.837,9.69152
392.838,9.68011
393.839,9.66895
394.84,9.6584
395.841,9.64659
396.842,9.63473
397.843,9.62323
398.844,9.61176
399.845,9.60011
400.846,9.5882
401.847,9.576
402.848,9.56391
403.849,9.55157
404.85,9.54047
405.851,9.52823
406.852,9.5153
407.853,9.50276
408.854,9.4903
409.855,9.47796
410.856,9.46572
411.857,9.45411
412.858,9.44192
413.859,9.42999
414.86,9.41751
415.861,9.4049
416.831,9.39336
417.851,9.38092
418.852,9.36972
419.853,9.35786
420.854,9.34583
421.855,9.33358
422.856,9.32198
423.857,9.31046
424.858,9.29868
425.859,9.28737
426.86,9.27683
427.861,9.26538
428.862,9.25417
429.831,9.24388
430.852,9.2329
431.853,9.22161
432.854,9.21051
433.855,9.19969
434.856,9.18844
435.857,9.17759
436.858,9.16582
437.859,9.15406
438.86,9.14207
439.861,9.13081
440.831,9.11964
441.832,9.10861
442.833,9.09807
443.834,9.08786
444.835,9.07621
445.836,9.0653
446.837,9.05424
447.838,9.04303
448.839,9.03189
449.84,9.02052
450.841,9.00995
451.842,8.99929
452.843,8.98922
453.844,8.97779
454.845,8.96729
455.846,8.95645
456.847,8.94686
457.848,8.93513
458.849,8.92459
459.85,8.91392
460.851,8.90368
461.852,8.89209
462.853,8.88191
463.854,8.8706
464.855,8.85865
465.856,8.84683
466.857,8.83529
467.858,8.82368
468.859,8.8127
469.86,8.80133
470.861,8.79041
471.831,8.77964
472.832,8.76834
473.833,8.75752
474.834,8.74662
475.835,8.7396
476.836,8.72728
477.838,8.71566
478.839,8.70483
479.84,8.69356
480.841,8.68281
481.842,8.67225
482.843,8.66105
483.844,8.65033
484.845,8.63961
485.846,8.62831
486.847,8.61726
487.848,8.60653
488.849,8.59542
489.85,8.58472
490.851,8.57359
491.852,8.56369
492.853,8.55208
493.854,8.54153
494.855,8.53144
495.856,8.52093
496.857,8.51114
497.858,8.50055
498.859,8.49054
499.86,8.48019
500.861,8.47032
501.831,8.46155
502.832,8.45127
503.833,8.44162
504.834,8.4338
505.835,8.42591
506.836,8.41582
507.837,8.40839
508.838,8.39644
509.839,8.38659
510.84,8.37515
511.841,8.36827
