T,h1,h2
20.58,1.00,-17.90
21.06,1.03,-18.46
22.21,1.04,21.75
23.16,1.04,23.80
24.17,1.05,24.53
25.17,1.05,26.49
26.17,1.05,27.20
27.18,1.05,29.38
28.16,1.05,31.75
29.17,1.05,32.98
30.16,1.05,34.71
31.16,1.05,36.48
32.16,1.05,38.72
33.16,1.05,40.22
34.16,1.05,42.35
35.16,1.05,44.56
36.15,1.05,47.10
37.16,1.05,49.64
38.16,1.05,52.48
39.16,1.05,54.73
40.15,1.05,58.08
