t (s),V (mV)
0,18.423
1.049,18.2722
2.099,18.2373
3.134,18.2522
4.134,18.2618
5.134,18.2599
6.134,18.2536
7.134,18.2443
8.134,18.2327
9.134,18.2207
10.134,18.2081
11.134,18.1929
12.134,18.1787
13.134,18.1643
14.134,18.1508
15.134,18.1353
16.134,18.12
17.134,18.1061
18.134,18.0909
19.134,18.0767
20.134,18.0621
21.134,18.0494
22.134,18.0371
23.134,18.0206
24.134,18.0082
25.134,17.9954
26.134,17.981
27.134,17.9685
28.134,17.9537
29.134,17.9403
30.134,17.9268
31.134,17.9133
32.134,17.8973
33.134,17.8844
34.134,17.8703
35.134,17.8517
36.134,17.8338
37.134,17.8274
38.134,17.8156
39.134,17.8036
40.134,17.7907
41.134,17.7774
42.134,17.7733
43.134,17.7657
44.134,17.7543
45.134,17.7424
46.134,17.7312
47.134,17.7149
48.134,17.7046
49.134,17.6923
50.134,17.678
51.134,17.6662
52.134,17.6543
53.134,17.6423
54.134,17.6294
55.134,17.6168
56.134,17.6038
57.134,17.5913
58.134,17.5792
59.134,17.5661
60.134,17.5539
61.134,17.542
62.134,17.5296
63.134,17.5167
64.134,17.5051
65.134,17.4931
66.134,17.4797
67.134,17.4679
68.134,17.4561
69.134,17.4442
70.134,17.4321
71.134,17.4185
72.134,17.4061
73.134,17.3937
74.134,17.3808
75.134,17.3668
76.134,17.355
77.134,17.3425
78.134,17.3298
79.134,17.3173
80.134,17.3048
81.134,17.2914
82.134,17.2808
83.134,17.2713
84.134,17.2594
85.134,17.2484
86.134,17.2363
87.134,17.2245
88.134,17.2126
89.134,17.202
90.134,17.1892
91.134,17.1788
92.134,17.1678
93.134,17.1551
94.134,17.1436
95.134,17.1332
96.134,17.1215
97.134,17.1093
98.134,17.0986
99.134,17.0862
100.134,17.0742
101.134,17.0635
102.134,17.0507
103.134,17.0402
104.134,17.0295
105.134,17.0179
106.134,17.0052
107.134,16.9912
108.134,16.9791
109.134,16.97
110.134,16.9576
111.134,16.946
112.134,16.9342
113.134,16.9217
114.134,16.9063
115.134,16.897
116.134,16.8877
117.134,16.8761
118.134,16.8626
119.134,16.8402
120.134,16.8285
121.134,16.8167
122.134,16.8081
123.134,16.7952
124.134,16.7819
125.134,16.7706
126.134,16.7593
127.134,16.748
128.134,16.7355
129.134,16.7242
130.134,16.7129
131.134,16.7008
132.134,16.6899
133.134,16.6791
134.134,16.6674
135.134,16.6574
136.134,16.6453
137.134,16.635
138.134,16.6246
139.134,16.6129
140.134,16.6033
141.134,16.5919
142.134,16.5799
143.134,16.5693
144.134,16.5591
145.134,16.5485
146.134,16.5359
147.134,16.5263
148.134,16.5156
149.134,16.5038
150.134,16.4922
151.134,16.4817
152.134,16.4697
153.134,16.4586
154.134,16.4462
155.134,16.436
156.134,16.4243
157.134,16.4109
158.134,16.4003
159.134,16.3893
160.134,16.3776
161.134,16.367
162.134,16.3555
163.134,16.3444
164.134,16.3348
165.134,16.3231
166.134,16.3102
167.134,16.3014
168.134,16.2908
169.134,16.2797
170.134,16.2695
171.134,16.2583
172.134,16.2469
173.134,16.2357
174.134,16.2247
175.134,16.2145
176.134,16.203
177.134,16.1916
178.134,16.1819
179.134,16.1711
180.134,16.1596
181.134,16.1479
182.134,16.1361
183.134,16.1222
184.134,16.1135
185.134,16.1031
186.134,16.0906
187.134,16.0789
188.134,16.068
189.134,16.0573
190.134,16.0458
191.134,16.0324
192.134,16.0228
193.134,16.0103
194.134,15.9994
195.134,15.9892
196.134,15.9779
197.134,15.968
198.134,15.957
199.134,15.9456
200.134,15.9359
201.134,15.9253
202.134,15.9146
203.134,15.9028
204.134,15.8932
205.134,15.8826
206.134,15.8721
207.134,15.8618
208.134,15.8518
209.134,15.8406
210.134,15.8309
211.134,15.8203
212.134,15.8099
213.134,15.7991
214.134,15.7891
215.134,15.7767
216.134,15.7679
217.134,15.756
218.134,15.7464
219.134,15.7353
220.134,15.7247
221.134,15.7147
222.134,15.7044
223.134,15.6934
224.134,15.6828
225.134,15.6739
226.134,15.6633
227.134,15.6542
228.134,15.6428
229.134,15.6317
230.134,15.6211
231.134,15.6092
232.134,15.5994
233.134,15.5887
234.134,15.577
235.134,15.5666
236.134,15.5571
237.134,15.5461
238.134,15.5348
239.134,15.5235
240.134,15.5132
241.134,15.5037
242.134,15.4919
243.134,15.4828
244.134,15.4712
245.134,15.4602
246.134,15.4503
247.134,15.4398
248.134,15.4296
249.134,15.4196
250.134,15.4091
251.134,15.3998
252.134,15.3874
253.134,15.377
254.134,15.3661
255.134,15.3551
256.134,15.3443
257.134,15.3338
258.134,15.3235
259.134,15.3127
260.134,15.302
261.134,15.2899
262.134,15.2798
263.134,15.2693
264.134,15.258
265.134,15.247
266.134,15.2356
267.134,15.2254
268.134,15.2144
269.134,15.2041
270.134,15.1938
271.134,15.1828
272.134,15.1737
273.134,15.1628
274.134,15.1524
275.134,15.1419
276.134,15.1313
277.134,15.122
278.134,15.1098
279.134,15.0991
280.134,15.089
281.134,15.0777
282.134,15.0675
283.134,15.0557
284.134,15.0453
285.134,15.0366
286.134,15.0257
287.134,15.0164
288.134,15.0061
289.134,14.9971
290.134,14.9873
291.134,14.9774
292.134,14.9674
293.134,14.9579
294.134,14.9479
295.134,14.9382
296.134,14.9278
297.134,14.9172
298.134,14.908
299.134,14.8981
300.134,14.8878
301.134,14.8779
302.134,14.8687
303.134,14.8576
304.134,14.8492
305.134,14.8377
306.134,14.8285
307.134,14.82
308.134,14.7981
309.134,14.7896
310.134,14.7839
311.134,14.7736
312.134,14.7647
313.134,14.7554
314.134,14.7464
315.134,14.7366
316.134,14.7273
317.134,14.7169
318.134,14.7075
319.134,14.6966
320.134,14.688
321.134,14.6781
322.134,14.6684
323.134,14.658
324.134,14.6482
325.134,14.6377
326.134,14.6278
327.134,14.6177
328.134,14.6085
329.134,14.5985
330.134,14.5888
331.134,14.5801
332.134,14.5707
333.134,14.5609
334.134,14.5508
335.134,14.5412
336.134,14.5318
337.134,14.5224
338.134,14.5119
339.134,14.5029
340.134,14.4948
341.134,14.4859
342.134,14.4764
343.134,14.4678
344.134,14.4587
345.134,14.4492
346.134,14.4406
347.134,14.4307
348.134,14.4222
349.134,14.4135
350.134,14.4042
351.134,14.3945
352.134,14.3867
353.134,14.3759
354.134,14.3658
355.134,14.3564
356.134,14.3471
357.134,14.3365
358.134,14.326
359.134,14.3185
360.134,14.3074
361.134,14.2965
362.134,14.2867
363.134,14.2774
364.134,14.2685
365.134,14.2594
366.134,14.2495
367.134,14.2411
368.134,14.2313
369.134,14.2217
