t (s),V (mV)
0,21.5694
1.049,21.5606
2.074,21.5536
3.074,21.5453
4.074,21.5328
5.074,21.5167
6.074,21.497
7.074,21.4782
8.074,21.4576
9.074,21.4361
10.074,21.4142
11.074,21.3937
12.074,21.3709
13.074,21.3494
14.074,21.3282
15.074,21.3065
16.074,21.2846
17.074,21.2631
18.074,21.2421
19.074,21.219
20.074,21.1984
21.074,21.1745
22.074,21.1561
23.074,21.1327
24.074,21.1124
25.074,21.0891
26.074,21.068
27.074,21.0458
28.074,21.0256
29.074,21.0031
30.074,20.9816
31.074,20.9611
32.074,20.9385
33.074,20.9172
34.074,20.8945
35.074,20.8728
36.074,20.8518
37.074,20.8293
38.074,20.81
39.074,20.7903
40.074,20.7664
41.074,20.7475
42.074,20.7274
43.074,20.7071
44.074,20.6853
45.074,20.6674
46.074,20.6462
47.074,20.6239
48.074,20.6023
49.074,20.5845
50.074,20.5638
51.074,20.5437
52.074,20.5241
53.074,20.5059
54.074,20.4863
55.074,20.4672
56.074,20.4467
57.074,20.4278
58.074,20.4097
59.074,20.39
60.074,20.3704
61.074,20.3516
62.074,20.3336
63.074,20.3147
64.074,20.2954
65.077,20.2733
66.074,20.257
67.074,20.2371
68.074,20.2181
69.074,20.199
70.074,20.1804
71.074,20.1611
72.074,20.1408
73.074,20.1209
74.074,20.1019
75.074,20.0828
76.074,20.062
77.074,20.0443
78.074,20.025
79.074,20.006
80.074,19.9861
81.074,19.9673
82.074,19.9479
83.074,19.9298
84.074,19.9099
85.074,19.8903
86.074,19.8724
87.074,19.8529
88.074,19.8333
89.074,19.8144
90.074,19.7956
91.074,19.7763
92.074,19.7567
93.074,19.7395
94.074,19.7195
95.074,19.7013
96.074,19.6832
97.074,19.6655
98.074,19.647
99.074,19.6288
100.074,19.6107
101.074,19.5903
102.074,19.5714
103.074,19.5528
104.074,19.5326
105.074,19.5123
106.074,19.4943
107.074,19.4746
108.074,19.4562
109.074,19.4364
110.074,19.4165
111.074,19.3978
112.074,19.3784
113.074,19.3588
114.074,19.3403
115.074,19.3223
116.074,19.3031
117.074,19.2851
118.074,19.2669
119.074,19.2505
120.074,19.2311
121.074,19.2131
122.074,19.1954
123.074,19.1766
124.074,19.1606
125.074,19.1418
126.074,19.1231
127.074,19.1052
128.074,19.0871
129.074,19.0688
130.074,19.0511
131.074,19.0348
132.074,19.0169
133.074,18.9982
134.074,18.9806
135.074,18.9629
136.074,18.9433
137.074,18.9263
138.074,18.9076
139.074,18.8898
140.074,18.8722
141.074,18.854
142.074,18.8352
143.074,18.8188
144.074,18.8009
145.074,18.783
146.074,18.7642
147.074,18.7461
148.074,18.7268
149.074,18.7079
150.074,18.6873
151.074,18.6699
152.074,18.6519
153.074,18.6341
154.074,18.6168
155.074,18.5994
156.074,18.5827
157.074,18.5649
158.074,18.5478
159.074,18.5306
160.074,18.5135
161.074,18.496
162.074,18.4787
163.074,18.4629
164.074,18.4473
165.074,18.4293
166.074,18.4141
167.074,18.3969
168.074,18.3791
169.074,18.3627
170.074,18.3441
171.074,18.3273
172.074,18.309
173.074,18.2921
174.074,18.2748
175.074,18.2584
176.074,18.2406
177.074,18.2229
178.074,18.2063
179.074,18.1901
180.074,18.1732
181.074,18.1561
182.074,18.141
183.074,18.1234
184.074,18.1071
185.074,18.089
186.074,18.0713
187.077,18.0527
188.074,18.0366
189.074,18.0182
190.074,18.0012
191.074,17.9802
192.074,17.9583
193.074,17.9428
194.074,17.9353
195.074,17.9208
196.074,17.9045
197.074,17.8865
198.074,17.8704
199.074,17.8553
200.074,17.8392
201.074,17.8236
202.074,17.8078
203.074,17.7916
204.074,17.7757
205.074,17.7601
206.074,17.744
207.074,17.7292
208.074,17.7123
209.074,17.6978
210.074,17.6818
211.074,17.6662
212.074,17.6505
213.074,17.6355
214.074,17.6199
215.074,17.6039
216.074,17.5884
217.074,17.5714
218.074,17.5563
219.074,17.5404
220.074,17.5242
221.074,17.5068
222.074,17.4909
223.074,17.4741
224.074,17.4593
225.074,17.4433
226.074,17.4277
227.074,17.413
228.074,17.397
229.074,17.3828
230.074,17.3675
231.074,17.3525
232.074,17.3365
233.074,17.3216
234.074,17.3055
235.074,17.2904
236.074,17.2741
237.074,17.2592
238.074,17.2439
239.074,17.229
240.074,17.2142
241.074,17.1984
242.074,17.1823
243.074,17.1672
244.074,17.1509
245.074,17.1355
246.074,17.1202
247.074,17.1053
248.074,17.0897
249.074,17.0741
250.074,17.0584
251.074,17.0431
252.074,17.0263
253.074,17.012
254.074,16.9957
255.074,16.9812
256.074,16.9653
257.074,16.9506
258.074,16.9345
259.074,16.9196
260.074,16.9039
261.074,16.8873
262.074,16.8722
263.074,16.8561
264.074,16.8399
265.074,16.8241
266.074,16.8078
267.074,16.7935
268.074,16.7763
269.074,16.7603
270.074,16.7469
271.074,16.7314
272.074,16.7152
273.074,16.7019
274.074,16.686
275.074,16.67
276.074,16.6559
277.074,16.6408
278.074,16.6264
279.074,16.6117
280.074,16.597
281.074,16.5825
282.074,16.5674
283.074,16.5528
284.074,16.5376
285.074,16.5229
286.074,16.5079
287.074,16.4936
288.074,16.4785
289.074,16.4649
290.074,16.4498
291.074,16.434
292.074,16.4199
293.074,16.4056
294.074,16.3904
295.074,16.3756
296.074,16.359
297.074,16.3454
298.074,16.3306
299.074,16.3166
300.074,16.3017
301.074,16.2869
302.074,16.2713
303.074,16.2571
304.074,16.242
305.074,16.2275
306.074,16.2134
307.074,16.1988
308.074,16.1841
309.077,16.1675
310.074,16.1536
311.074,16.1389
312.074,16.1236
313.074,16.1097
314.074,16.0948
315.074,16.0793
316.074,16.0652
317.074,16.0505
318.074,16.036
319.074,16.02
320.074,16.0036
321.074,15.992
322.074,15.9776
323.074,15.9625
324.074,15.9483
325.074,15.9338
326.074,15.9189
327.074,15.9055
328.074,15.8924
329.074,15.879
330.074,15.8656
331.074,15.8529
332.074,15.8385
333.074,15.824
334.074,15.8104
335.074,15.7967
336.074,15.7822
337.074,15.7688
338.074,15.7547
339.074,15.742
340.074,15.7277
341.074,15.7135
342.074,15.6993
343.074,15.6853
344.074,15.6726
345.074,15.6593
346.074,15.6462
347.074,15.6326
348.074,15.619
349.074,15.6052
350.074,15.5915
351.074,15.5782
352.074,15.5647
353.074,15.5522
354.074,15.5386
355.074,15.5247
356.074,15.5102
357.074,15.4966
358.074,15.4853
359.074,15.471
360.074,15.4577
361.074,15.4444
