t (s),V (mV)
0,19.2965
0.969,19.2934
1.9,19.2827
2.87,19.2712
3.839,19.2532
4.83,19.2454
5.83,19.2321
6.83,19.2165
7.83,19.2014
8.83,19.187
9.83,19.1755
10.83,19.1611
11.83,19.1485
12.83,19.1347
13.83,19.1223
14.83,19.1092
15.83,19.0983
16.83,19.0834
17.83,19.0737
18.83,19.0596
19.83,19.0456
20.83,19.0336
21.83,19.021
22.83,19.0081
23.83,18.9949
24.83,18.9816
25.83,18.97
26.83,18.9576
27.83,18.9454
28.83,18.9339
29.83,18.9205
30.83,18.9097
31.83,18.8966
32.83,18.8858
33.83,18.8739
34.83,18.8628
35.83,18.85
36.83,18.8387
37.83,18.825
38.83,18.813
39.83,18.8006
40.83,18.7885
41.83,18.7771
42.83,18.7648
43.83,18.7535
44.83,18.7407
45.83,18.7286
46.83,18.7158
47.83,18.703
48.83,18.6909
49.83,18.6793
50.83,18.6683
51.83,18.6556
52.83,18.6456
53.83,18.6354
54.83,18.6247
55.83,18.6138
56.83,18.6031
57.83,18.5935
58.83,18.5807
59.83,18.5696
60.83,18.5597
61.83,18.5493
62.83,18.5356
63.83,18.5248
64.83,18.5151
65.83,18.5009
66.83,18.492
67.83,18.4802
68.83,18.4691
69.83,18.4589
70.83,18.4476
71.83,18.4368
72.83,18.4263
73.83,18.415
74.83,18.4038
75.83,18.392
76.83,18.3813
77.83,18.3688
78.83,18.3601
79.83,18.3467
80.83,18.3344
81.83,18.3256
82.83,18.3104
83.83,18.3013
84.83,18.2905
85.83,18.2807
86.83,18.2701
87.83,18.2569
88.83,18.246
89.83,18.2343
90.83,18.224
91.83,18.2119
92.83,18.2004
93.83,18.1883
94.83,18.1776
95.83,18.1694
96.83,18.153
97.83,18.1437
98.83,18.1384
99.83,18.1277
100.83,18.1168
101.83,18.1057
102.83,18.0959
103.83,18.0859
104.83,18.075
105.83,18.0657
106.83,18.0543
107.83,18.0454
108.83,18.0361
109.83,18.0272
110.83,18.0187
111.83,18.0082
112.83,17.9984
113.83,17.9895
114.83,17.9806
115.83,17.9706
116.83,17.9618
117.83,17.9514
118.83,17.9402
119.83,17.9307
120.83,17.9195
121.83,17.9091
122.83,17.8989
123.83,17.8875
124.83,17.8773
125.83,17.866
126.83,17.8562
127.83,17.8465
128.83,17.8348
129.83,17.8236
130.83,17.8151
131.83,17.803
132.83,17.7928
133.83,17.7831
134.83,17.7715
135.83,17.7606
136.83,17.7514
137.83,17.7404
138.83,17.729
139.83,17.7202
140.83,17.7098
141.83,17.7009
142.83,17.69
143.83,17.6791
144.83,17.6714
145.83,17.6611
146.83,17.6528
147.83,17.6409
148.83,17.6317
149.83,17.6217
150.83,17.6113
151.83,17.5999
152.83,17.5908
153.83,17.5808
154.83,17.5712
155.83,17.5591
156.83,17.5533
157.83,17.543
158.83,17.5332
159.83,17.5239
160.83,17.5143
161.83,17.5049
162.83,17.4959
163.83,17.4858
164.83,17.4772
165.83,17.4675
166.83,17.458
167.83,17.4487
168.83,17.4369
169.83,17.4283
170.83,17.4193
171.83,17.4103
172.83,17.4006
173.83,17.3908
174.83,17.3828
175.83,17.3748
176.83,17.3654
177.83,17.3557
178.83,17.3468
179.83,17.3365
180.83,17.3267
181.83,17.3166
182.83,17.3079
183.83,17.2981
184.83,17.2867
185.83,17.2767
186.83,17.2651
187.83,17.2539
188.83,17.2436
189.83,17.2366
190.83,17.2278
191.83,17.2185
192.83,17.2103
193.83,17.2014
194.83,17.1917
195.83,17.184
196.83,17.1752
197.83,17.1658
198.83,17.1576
199.83,17.1484
200.83,17.1383
201.83,17.1297
202.83,17.1204
203.83,17.1126
204.83,17.1019
205.83,17.0921
206.83,17.083
207.83,17.0732
208.83,17.0637
209.83,17.0537
210.83,17.0432
211.83,17.0341
212.83,17.025
213.83,17.0159
214.83,17.0017
215.83,16.996
216.83,16.989
217.83,16.9655
218.83,16.9632
219.831,16.9592
220.83,16.9518
221.83,16.9436
222.83,16.9343
223.83,16.926
224.83,16.9173
225.83,16.9076
226.83,16.8985
227.83,16.8901
228.83,16.8806
229.83,16.8716
230.83,16.8642
231.83,16.8547
232.83,16.846
233.83,16.8371
234.83,16.8291
235.83,16.8202
236.83,16.811
237.83,16.8042
238.83,16.7936
239.83,16.7847
240.83,16.777
241.83,16.769
242.83,16.7612
243.83,16.7479
244.83,16.7396
245.83,16.7339
246.83,16.7267
247.83,16.7183
248.83,16.711
249.83,16.701
250.83,16.6945
251.83,16.6848
252.83,16.6775
253.83,16.6694
254.83,16.6606
255.83,16.6521
256.83,16.6426
257.83,16.6317
258.83,16.6243
259.83,16.6152
260.83,16.6087
261.83,16.601
262.83,16.592
263.83,16.5859
264.83,16.5777
265.83,16.5704
266.83,16.5606
267.83,16.5523
268.83,16.5433
269.83,16.5359
270.83,16.5259
271.83,16.5188
272.83,16.5082
273.83,16.4992
274.83,16.4923
275.83,16.4838
276.83,16.4752
277.83,16.4672
278.83,16.459
279.83,16.4503
280.83,16.4422
281.83,16.4335
282.83,16.4238
283.83,16.4146
284.83,16.4066
285.83,16.3979
286.83,16.3878
287.83,16.3794
288.83,16.3706
289.83,16.3609
290.83,16.3513
291.83,16.3435
292.83,16.3333
293.83,16.3234
294.83,16.3144
295.83,16.3052
296.83,16.2953
297.83,16.2858
298.83,16.2774
299.83,16.2678
300.83,16.2594
301.83,16.2503
302.83,16.2414
303.83,16.2328
304.83,16.2248
305.83,16.216
306.83,16.2059
307.83,16.1974
308.83,16.1867
309.83,16.179
310.83,16.1708
311.83,16.1627
312.83,16.1542
313.83,16.1453
