t (s),V (mV)
0,14.5584
1.02,14.5463
2.021,14.5347
3.022,14.5241
4.023,14.5118
5.024,14.4994
6.025,14.4865
7.026,14.4752
8.027,14.4632
9.028,14.4504
10.029,14.4372
11.03,14.4234
12.031,14.4095
13.032,14.3958
14.033,14.3818
15.034,14.3691
16.035,14.3552
17.036,14.3416
18.037,14.3287
19.038,14.3156
20.04,14.3027
21.041,14.2899
22.01,14.277
23.011,14.2642
24.012,14.2517
25.013,14.239
26.014,14.2266
27.015,14.2138
28.016,14.2017
29.017,14.1894
30.018,14.1774
31.019,14.1636
32.02,14.1507
33.021,14.1375
34.022,14.125
35.023,14.1128
36.024,14.1004
37.025,14.0912
38.026,14.0779
39.027,14.0629
40.028,14.0504
41.029,14.0392
42.03,14.0282
43.031,14.0176
44.032,14.0054
45.033,13.9947
46.034,13.9828
47.035,13.9719
48.036,13.9606
49.037,13.9481
50.038,13.9363
51.039,13.9247
52.04,13.9132
53.01,13.9011
54.011,13.8881
55.012,13.8759
56.013,13.8641
57.014,13.8498
58.015,13.8396
59.016,13.8285
60.017,13.8162
61.018,13.8044
62.019,13.7923
63.02,13.7803
64.021,13.7676
65.022,13.7553
66.023,13.7419
67.024,13.7284
68.025,13.7163
69.026,13.7039
70.027,13.6914
71.028,13.6798
72.029,13.6673
73.03,13.6549
74.031,13.6419
75.032,13.6302
76.033,13.619
77.034,13.6065
78.035,13.5945
79.036,13.5832
80.037,13.5711
81.038,13.5603
82.039,13.5492
83.04,13.5379
84.01,13.5265
85.011,13.5151
86.012,13.5042
87.013,13.493
88.014,13.4819
89.015,13.4699
90.016,13.458
91.017,13.4467
92.018,13.4346
93.019,13.4233
94.02,13.4111
95.021,13.4
96.022,13.3883
97.023,13.3773
98.024,13.3663
99.025,13.3541
100.026,13.3432
101.027,13.3318
102.028,13.3202
103.029,13.3082
104.03,13.2968
105.031,13.2854
106.032,13.2741
107.033,13.2632
108.034,13.2512
109.035,13.2396
110.036,13.2284
111.037,13.2177
112.038,13.2063
113.04,13.1944
114.041,13.1836
115.01,13.173
116.011,13.1617
117.012,13.1503
118.013,13.1397
119.014,13.1287
120.015,13.1185
121.016,13.1076
122.017,13.0972
123.018,13.086
124.019,13.0761
125.02,13.0647
126.021,13.053
127.022,13.0422
128.023,13.0312
129.024,13.0196
130.025,13.0093
131.026,12.9979
132.027,12.9869
133.028,12.9758
134.029,12.9647
135.03,12.9538
136.031,12.943
137.032,12.9317
138.033,12.9215
139.034,12.9094
140.035,12.8987
141.036,12.8879
142.037,12.8769
143.038,12.8658
144.039,12.8545
145.04,12.8432
146.01,12.8324
147.011,12.8218
148.012,12.8112
149.013,12.7995
150.014,12.7886
151.015,12.7779
152.016,12.7667
153.017,12.7573
154.018,12.743
155.019,12.7317
156.02,12.7199
157.021,12.7088
158.022,12.6971
159.023,12.6849
160.024,12.6739
161.025,12.6624
162.026,12.6511
163.027,12.6395
164.028,12.6289
165.029,12.6181
166.03,12.6077
167.031,12.5976
168.032,12.5877
169.033,12.5774
170.034,12.5682
171.035,12.5595
172.036,12.5467
173.037,12.5367
174.038,12.5265
175.039,12.5153
176.04,12.5042
177.01,12.4938
178.011,12.4842
179.012,12.4789
180.013,12.4685
181.014,12.4583
182.015,12.4495
183.016,12.4391
184.017,12.43
185.018,12.4195
186.019,12.4096
187.02,12.4
188.021,12.3898
189.022,12.3794
190.023,12.3696
191.024,12.3595
192.025,12.3494
193.026,12.3242
194.027,12.3124
195.028,12.3019
196.029,12.2915
197.03,12.2808
198.031,12.2708
199.032,12.26
200.033,12.2497
201.034,12.2399
202.035,12.2295
203.036,12.2188
204.037,12.2074
205.038,12.1968
206.039,12.1866
207.04,12.1758
208.009,12.1653
209.011,12.1545
210.011,12.1448
211.013,12.1347
212.014,12.124
213.015,12.1138
214.016,12.1041
215.017,12.0938
216.018,12.0839
217.019,12.0742
218.02,12.0641
219.021,12.0548
220.022,12.045
221.023,12.0357
222.024,12.0259
223.025,12.0166
224.026,12.0072
225.027,11.9975
226.028,11.9873
227.029,11.9778
228.03,11.9678
229.031,11.9576
230.032,11.9485
231.033,11.9387
232.034,11.9288
233.035,11.9187
234.036,11.9088
235.037,11.8989
236.038,11.889
237.039,11.8794
238.04,11.8693
239.01,11.8606
240.011,11.851
241.012,11.8384
242.013,11.8292
243.014,11.8199
244.015,11.8098
245.016,11.7977
246.017,11.788
247.018,11.7779
248.019,11.7671
249.02,11.7574
250.021,11.7467
251.022,11.7361
252.023,11.725
253.024,11.7141
254.025,11.7037
255.026,11.6932
256.027,11.682
257.028,11.6711
258.029,11.6605
259.03,11.6503
260.031,11.6407
261.032,11.6307
262.033,11.6201
263.034,11.6111
264.035,11.6008
265.036,11.591
266.037,11.581
267.038,11.5712
268.039,11.5611
269.04,11.5512
270.01,11.5425
271.011,11.5331
272.012,11.5232
273.013,11.5137
274.014,11.5038
275.015,11.494
276.016,11.4848
277.017,11.4747
278.018,11.4647
279.019,11.4547
280.02,11.4449
281.021,11.435
282.022,11.4254
283.023,11.4157
284.024,11.4058
285.025,11.3915
286.026,11.3842
287.027,11.3736
288.028,11.3625
289.029,11.3521
290.03,11.3423
291.031,11.3351
292.032,11.3198
293.033,11.3095
294.034,11.3011
295.035,11.2922
296.036,11.2828
297.037,11.2741
298.038,11.263
299.039,11.2531
300.04,11.2436
301.01,11.2342
302.011,11.2248
303.012,11.2148
304.013,11.2059
305.014,11.1965
306.016,11.1877
307.017,11.1773
308.018,11.1681
309.019,11.1579
310.02,11.148
311.021,11.138
312.022,11.1281
313.023,11.1175
314.024,11.1076
315.025,11.097
316.026,11.0865
317.027,11.0765
318.028,11.0667
319.029,11.0561
320.03,11.0475
321.031,11.0378
322.032,11.0276
323.033,11.0173
324.034,11.0064
325.035,10.9969
326.036,10.9857
327.037,10.9751
328.038,10.9654
329.039,10.9546
330.04,10.9439
331.01,10.9335
332.011,10.9235
333.012,10.9132
334.013,10.904
335.014,10.8941
336.015,10.8852
337.016,10.8762
338.017,10.8666
339.018,10.8568
340.019,10.8477
341.02,10.8395
342.021,10.8297
343.022,10.8206
344.023,10.8106
345.024,10.803
346.025,10.7925
347.026,10.7828
348.027,10.7742
349.028,10.7654
350.03,10.7566
351.03,10.7476
352.031,10.7383
353.032,10.7281
354.033,10.7188
355.034,10.709
356.035,10.6992
357.036,10.6891
358.037,10.6788
359.038,10.6695
360.039,10.6601
361.04,10.6501
362.01,10.6411
363.011,10.6322
364.012,10.6236
365.013,10.6146
366.014,10.6051
367.015,10.5968
368.016,10.5881
369.017,10.5807
370.018,10.5725
371.019,10.5645
372.02,10.5557
373.021,10.5472
374.022,10.5383
375.023,10.5296
376.024,10.52
377.025,10.5109
378.026,10.5007
379.027,10.4912
380.028,10.4806
381.03,10.4709
382.03,10.4621
383.031,10.452
384.032,10.4433
385.033,10.4344
386.034,10.4247
387.035,10.4158
388.036,10.407
389.037,10.398
390.038,10.3892
391.039,10.3801
392.04,10.3714
393.01,10.3636
394.011,10.3548
395.012,10.3467
396.013,10.3386
397.014,10.3302
398.015,10.3213
399.017,10.3124
400.017,10.3037
401.018,10.2952
402.02,10.2867
403.021,10.278
404.022,10.2702
405.022,10.2614
406.024,10.2521
407.025,10.2434
408.026,10.2377
409.027,10.2265
410.028,10.218
411.029,10.2096
412.03,10.2007
413.031,10.1925
414.032,10.1843
415.033,10.1759
416.034,10.1674
417.035,10.1587
418.036,10.1502
419.037,10.1415
420.038,10.1325
421.039,10.1233
422.009,10.1152
423.01,10.1069
424.011,10.0981
425.012,10.0888
426.013,10.0806
427.014,10.0719
428.015,10.064
429.016,10.0556
430.017,10.0469
431.018,10.0387
432.019,10.0302
433.02,10.0215
434.021,10.013
435.022,10.0042
436.023,9.99581
437.024,9.98699
438.025,9.97862
439.026,9.96915
440.027,9.96012
441.028,9.95232
442.029,9.94435
443.03,9.93634
444.031,9.92749
445.032,9.91934
446.033,9.91169
447.034,9.90379
448.035,9.89528
449.036,9.88684
450.037,9.87903
451.038,9.87194
452.039,9.86337
453.04,9.85509
454.01,9.84726
455.011,9.8373
456.012,9.82939
457.013,9.82304
458.014,9.81319
459.015,9.80542
460.016,9.79753
461.017,9.78894
462.018,9.78195
463.019,9.77372
464.02,9.76671
465.021,9.75998
466.022,9.75086
467.023,9.74415
468.024,9.73387
