t,V
344.999,11.1972
345.999,11.1865
347,11.1775
347.999,11.1668
348.999,11.1557
350,11.1442
350.999,11.1378
351.999,11.1249
353,11.114
353.999,11.1047
354.999,11.094
356,11.0849
356.999,11.0749
358,11.0644
358.999,11.0539
360,11.0445
360.999,11.0337
361.999,11.0242
363,11.0132
363.999,11.0031
364.999,10.9936
366,10.9836
366.999,10.9733
367.999,10.9626
369,10.9536
369.999,10.9433
370.999,10.9325
372,10.9231
372.999,10.9133
373.999,10.9022
375,10.8931
376,10.8826
376.999,10.8732
377.999,10.8631
379,10.8541
379.999,10.8435
380.999,10.8336
381.999,10.8236
383,10.814
383.999,10.8039
385,10.7957
385.999,10.7845
387,10.7744
387.999,10.7644
389,10.7547
389.999,10.7433
390.999,10.7331
391.999,10.723
392.999,10.7131
393.999,10.7035
395,10.6937
395.999,10.6839
397,10.6729
397.999,10.6641
399,10.6544
399.999,10.6454
401,10.6357
401.999,10.6271
402.999,10.6166
403.999,10.6076
404.999,10.597
405.998,10.588
406.998,10.5782
407.999,10.5689
408.998,10.559
409.999,10.5493
410.998,10.5411
411.998,10.5306
412.998,10.5207
413.998,10.5129
414.998,10.5035
415.998,10.493
416.999,10.4848
417.998,10.4745
418.999,10.4644
419.998,10.4562
420.998,10.4454
421.999,10.4363
422.998,10.4274
423.998,10.4178
424.999,10.4077
425.998,10.3991
426.998,10.3895
427.998,10.3801
428.999,10.3702
429.998,10.3619
430.999,10.3511
431.998,10.3423
432.999,10.3328
433.998,10.3243
434.998,10.3136
435.998,10.3052
436.998,10.2954
437.998,10.2864
438.999,10.2772
439.998,10.267
440.999,10.2574
441.998,10.2486
442.999,10.2393
443.998,10.2293
444.998,10.2213
445.998,10.2122
446.998,10.204
447.998,10.1936
448.998,10.1855
449.998,10.1764
450.998,10.1669
451.998,10.1574
452.999,10.1495
453.998,10.1399
454.999,10.1301
455.998,10.1214
456.999,10.1119
457.998,10.1022
458.998,10.0933
459.998,10.0856
460.999,10.0743
461.998,10.0652
462.998,10.0562
463.998,10.0463
464.999,10.0375
465.998,10.0285
466.998,10.02
467.999,10.0111
468.998,10.0012
470,9.9927
470.999,9.9823
472,9.9733
472.999,9.9646
474,9.9558
475,9.9457
475.999,9.9374
477,9.9294
477.999,9.9197
478.999,9.9109
480,9.9021
480.999,9.8953
482,9.8846
482.999,9.8757
483.999,9.8671
485,9.858
485.999,9.8493
487,9.8409
487.999,9.8319
489,9.8232
489.999,9.8145
490.999,9.8062
491.999,9.7966
492.999,9.7858
494,9.7786
494.999,9.7707
495.999,9.7608
497,9.7512
498,9.7433
498.999,9.7348
500,9.7222
501,9.7144
501.999,9.7075
502.999,9.6987
504,9.6913
505,9.6824
505.999,9.6748
507,9.6657
508,9.6579
509,9.6469
509.999,9.6395
510.999,9.6304
511.999,9.6222
512.999,9.6133
514,9.6045
514.999,9.5958
515.999,9.5879
516.999,9.5783
518,9.5702
519,9.5616
519.999,9.5532
520.999,9.5439
522,9.5347
523,9.5271
523.999,9.5185
524.999,9.5104
525.999,9.5022
527,9.4933
527.999,9.4862
528.999,9.4776
530,9.4683
531,9.4578
532,9.452
532.999,9.4451
533.999,9.4355
534.999,9.4257
536,9.4189
536.999,9.4108
538,9.4011
539,9.3937
540,9.3841
540.999,9.3761
541.999,9.3677
543,9.3576
544,9.3502
545,9.3425
545.999,9.3332
546.999,9.3242
548,9.3158
549,9.3077
550,9.2991
550.999,9.2893
551.999,9.2811
553,9.2722
554,9.2641
554.999,9.2545
555.999,9.2474
556.999,9.238
558,9.2287
559,9.2215
560,9.2129
561,9.2045
561.999,9.1964
562.999,9.1875
564,9.18
565,9.1691
565.999,9.1621
566.999,9.1543
568,9.1459
568.999,9.1369
570,9.1276
571,9.1203
571.999,9.1124
572.999,9.1052
573.999,9.0966
575,9.0895
576,9.0806
576.999,9.0732
578,9.0659
