t (s),V (mV)
0,19.9958
1.033,19.968
2.084,19.9367
3.104,19.9041
4.105,19.8714
5.106,19.8376
6.107,19.8041
7.108,19.7762
8.109,19.7352
9.11,19.7003
10.111,19.6638
11.112,19.6299
12.113,19.5966
13.114,19.5623
14.115,19.5289
15.116,19.495
16.117,19.4612
17.118,19.428
18.119,19.3939
19.12,19.3598
20.121,19.3255
21.122,19.2927
22.123,19.2599
23.124,19.2257
24.125,19.1937
25.126,19.1611
26.096,19.1291
27.097,19.0975
28.098,19.0641
29.099,19.0337
30.1,19.0017
31.102,18.9705
32.102,18.938
33.104,18.9059
34.105,18.8739
35.106,18.8413
36.107,18.8101
37.108,18.7795
38.109,18.7474
39.11,18.7152
40.111,18.6845
41.112,18.6534
42.113,18.6222
43.114,18.5919
44.115,18.5613
45.116,18.5306
46.117,18.4994
47.118,18.4689
48.119,18.4374
49.12,18.4056
50.121,18.3775
51.122,18.345
52.123,18.3144
53.124,18.2838
54.125,18.2525
55.126,18.2212
56.096,18.1909
57.097,18.1606
58.098,18.1303
59.099,18.1006
60.1,18.0715
61.101,18.0413
62.102,18.0112
63.103,17.9819
64.104,17.9516
65.105,17.921
66.106,17.8925
67.107,17.8634
68.108,17.834
69.109,17.8049
70.11,17.7753
71.111,17.7464
72.112,17.7174
73.113,17.6889
74.114,17.66
75.115,17.6313
76.116,17.6029
77.117,17.5742
78.118,17.5448
79.119,17.5161
80.12,17.4867
81.121,17.4584
82.122,17.4298
83.123,17.4015
84.124,17.3724
85.125,17.3424
86.126,17.3161
87.096,17.2888
88.097,17.2602
89.098,17.2318
90.099,17.204
91.1,17.1751
92.101,17.1476
93.102,17.1198
94.103,17.0914
95.104,17.0638
96.105,17.0362
97.106,17.0074
98.107,16.9793
99.108,16.9516
100.109,16.9235
101.11,16.8966
102.111,16.8687
103.112,16.8406
104.113,16.8131
105.114,16.7858
106.115,16.7582
107.116,16.7304
108.117,16.7032
109.118,16.6758
110.119,16.6489
111.12,16.6211
112.121,16.5934
113.122,16.5663
114.123,16.5387
115.124,16.5109
116.125,16.484
117.126,16.4569
118.096,16.4308
119.097,16.4031
120.098,16.376
121.099,16.3487
122.1,16.321
123.101,16.2945
124.102,16.2677
125.103,16.2418
126.104,16.2154
127.105,16.1884
128.106,16.1614
129.108,16.1358
130.109,16.1098
131.11,16.0841
132.111,16.0579
133.112,16.0318
134.113,16.0047
135.114,15.9792
136.115,15.9541
137.116,15.928
138.117,15.9026
139.118,15.8762
140.119,15.8507
141.12,15.825
142.121,15.7991
143.122,15.7738
144.123,15.7489
145.124,15.7239
146.125,15.6987
147.126,15.6725
148.096,15.6476
149.097,15.6218
150.098,15.5957
151.099,15.5704
152.1,15.5449
153.101,15.5208
154.102,15.4955
155.103,15.4699
156.104,15.4451
157.105,15.4195
158.106,15.3952
159.107,15.3705
160.108,15.3465
161.109,15.3219
162.11,15.2971
163.111,15.2734
164.112,15.25
165.113,15.228
166.114,15.1996
167.115,15.175
168.116,15.1509
169.117,15.1267
170.118,15.1024
171.119,15.0773
172.12,15.0534
173.121,15.0293
174.122,15.0049
175.123,14.9804
176.124,14.9563
177.125,14.932
178.126,14.9075
179.096,14.8841
180.097,14.8597
181.098,14.8356
182.099,14.8109
183.1,14.786
184.101,14.7622
185.102,14.7374
186.103,14.7135
187.104,14.6898
188.105,14.6661
189.106,14.6423
190.107,14.6194
191.108,14.596
192.109,14.5728
193.11,14.549
194.111,14.5258
195.112,14.5013
196.113,14.4775
197.114,14.4544
198.115,14.4316
199.116,14.4081
200.117,14.3847
201.118,14.3614
202.119,14.3382
203.12,14.3141
204.121,14.2911
205.122,14.2677
206.123,14.2434
207.124,14.2195
208.125,14.196
209.126,14.1722
210.096,14.149
211.097,14.1262
212.098,14.1031
213.099,14.0806
214.1,14.058
215.101,14.0342
216.102,14.0112
217.103,13.9879
218.104,13.9651
219.105,13.9428
220.106,13.9208
221.107,13.8983
222.108,13.8764
223.109,13.8536
224.11,13.8326
225.111,13.8106
226.112,13.7882
227.114,13.7661
228.115,13.7441
229.116,13.7224
230.117,13.7004
231.118,13.6777
232.119,13.657
233.12,13.6352
234.121,13.6134
235.122,13.592
236.123,13.5706
237.124,13.5493
238.125,13.5279
239.126,13.5062
240.095,13.4857
241.115,13.4644
242.116,13.4427
243.117,13.4211
244.118,13.3997
245.119,13.3781
246.12,13.3553
247.121,13.3334
248.122,13.3121
249.123,13.2917
250.124,13.2707
251.125,13.2498
252.126,13.2293
253.095,13.21
254.115,13.1889
255.116,13.1677
256.117,13.1462
257.118,13.126
258.119,13.105
259.12,13.0842
260.121,13.0636
261.122,13.0439
262.123,13.0231
263.124,13.0031
264.125,12.9821
265.126,12.9622
266.095,12.9422
267.116,12.9207
268.117,12.8998
269.118,12.8793
270.119,12.8589
271.12,12.8377
272.121,12.8174
273.122,12.798
274.123,12.7773
275.124,12.7571
276.125,12.7377
277.126,12.7177
278.095,12.6986
279.116,12.6778
280.117,12.6576
281.118,12.6378
282.119,12.6166
283.12,12.5957
284.121,12.5756
285.122,12.5553
286.123,12.5346
287.124,12.5146
288.125,12.4948
289.126,12.4746
290.095,12.4547
291.096,12.4347
292.097,12.4143
293.098,12.3944
294.099,12.3739
295.1,12.3531
296.101,12.3322
297.102,12.3124
298.103,12.2925
299.104,12.2722
300.105,12.2522
301.106,12.2328
302.107,12.213
303.108,12.1931
304.109,12.1739
305.11,12.1535
306.111,12.1336
307.112,12.1146
308.113,12.0941
309.114,12.0739
310.115,12.0542
311.116,12.0368
312.117,12.017
313.118,11.9977
314.119,11.9785
315.12,11.9589
316.121,11.9394
317.122,11.9189
318.123,11.9
319.124,11.8807
320.125,11.8622
321.126,11.8442
322.096,11.8255
323.097,11.8081
324.098,11.7853
325.1,11.7684
326.101,11.7497
327.102,11.7309
