t,V
0,14.4784
1,14.4704
2,14.4619
2.999,14.4542
4,14.445
5,14.4361
6,14.4256
7,14.4173
8,14.4077
9,14.3971
10,14.3868
11,14.3767
12,14.3671
12.999,14.3562
13.999,14.3462
14.999,14.3369
15.999,14.3263
16.999,14.3159
17.999,14.3058
18.999,14.2966
19.999,14.2865
20.999,14.2751
22,14.2612
23,14.2538
24,14.2428
24.999,14.2322
25.999,14.222
26.999,14.211
27.999,14.1997
28.999,14.1886
29.999,14.1774
30.999,14.1641
32,14.1552
33,14.1429
33.999,14.1325
34.999,14.1222
35.999,14.1105
36.999,14.1004
37.999,14.089
38.999,14.0781
39.999,14.0669
40.999,14.0562
42,14.0451
43,14.0343
44,14.0232
45,14.0122
46,14.0019
46.999,13.9898
48,13.9809
48.999,13.9697
49.999,13.959
50.999,13.9496
51.999,13.9388
52.999,13.9299
54,13.9185
55,13.9087
55.999,13.8971
56.999,13.8872
58,13.8776
58.999,13.8664
60,13.855
60.999,13.8452
61.999,13.8349
62.999,13.825
63.999,13.8144
64.999,13.804
66,13.7939
67,13.7835
68,13.7737
69,13.7636
70,13.7542
70.999,13.7438
71.999,13.7339
72.999,13.7238
73.999,13.7134
75,13.7038
76,13.6924
76.999,13.683
77.999,13.6732
78.999,13.662
80,13.6524
80.999,13.6413
81.999,13.6305
83,13.6227
84,13.6117
84.999,13.6017
85.999,13.5915
86.999,13.5809
87.999,13.571
88.999,13.5609
90,13.5508
91,13.5414
91.999,13.5315
92.999,13.5215
93.999,13.512
95,13.5016
96,13.4921
96.999,13.4819
97.999,13.4719
98.999,13.4622
99.999,13.4518
101,13.4416
102,13.4317
102.999,13.4224
103.999,13.4132
104.999,13.4025
105.999,13.3927
107,13.3824
108,13.3735
108.999,13.3635
109.999,13.354
111,13.3442
112,13.3338
112.999,13.3253
113.999,13.316
114.999,13.3057
116,13.2962
116.999,13.287
117.999,13.2772
118.999,13.2675
120,13.2571
120.999,13.2476
121.999,13.2384
123,13.2288
123.999,13.2197
124.999,13.2105
125.999,13.2003
126.999,13.1911
128,13.1821
128.999,13.1724
129.999,13.1629
131,13.1538
132,13.1438
132.999,13.134
133.999,13.125
134.999,13.1157
135.999,13.106
136.999,13.0962
138,13.0863
138.999,13.0767
140,13.0669
140.999,13.057
141.999,13.0478
143,13.0377
143.999,13.0282
145,13.0189
145.999,13.0092
146.999,13
147.999,12.9898
149,12.9811
150,12.9713
150.999,12.9615
151.999,12.9523
153,12.9421
153.999,12.9331
155,12.9236
155.999,12.9143
156.999,12.9052
158,12.8962
159,12.8868
159.999,12.8764
160.999,12.8676
162,12.8584
162.999,12.8485
163.999,12.8395
165,12.8301
165.999,12.8191
167,12.8115
167.999,12.8015
168.999,12.7921
169.999,12.7831
171,12.7741
171.999,12.7641
172.999,12.7545
174,12.746
174.999,12.7371
176,12.7281
176.999,12.7187
177.999,12.7099
179,12.7008
179.999,12.6922
180.999,12.6832
182,12.6742
182.999,12.6658
184,12.6561
184.999,12.6483
186,12.6383
186.999,12.6296
187.999,12.6205
189,12.6119
189.999,12.6029
190.999,12.5938
192,12.5847
192.999,12.5763
193.999,12.5669
195,12.5581
195.999,12.55
197,12.5396
197.999,12.5314
199,12.5224
199.999,12.5133
200.999,12.5047
202,12.4963
202.999,12.4889
203.999,12.4783
205,12.4694
205.999,12.4615
207,12.4529
207.999,12.4445
208.999,12.435
210,12.4265
210.999,12.419
212,12.4096
212.999,12.401
214,12.3917
214.999,12.384
215.999,12.3744
216.999,12.3668
217.999,12.3577
219,12.3472
219.999,12.3398
221,12.3307
221.999,12.3224
222.999,12.3135
224,12.3041
224.999,12.2955
226,12.2872
226.999,12.2794
227.999,12.2704
229,12.2619
229.999,12.254
230.999,12.2454
232,12.237
232.999,12.229
233.999,12.2203
235,12.2118
235.999,12.2033
237,12.1952
237.999,12.187
238.999,12.1776
240,12.1682
240.999,12.1604
242,12.1523
243.001,12.1437
243.999,12.1359
245,12.1274
245.999,12.1187
247,12.1113
247.999,12.1033
249,12.0942
249.999,12.0861
250.999,12.0782
252,12.0698
252.999,12.0616
253.999,12.0534
254.999,12.0455
255.999,12.0367
257,12.0282
257.999,12.0199
259,12.0117
259.999,12.0029
261,11.9943
261.999,11.9863
263,11.9787
263.999,11.9696
265,11.9616
265.999,11.9534
266.999,11.9447
268,11.9368
268.999,11.928
270,11.9198
270.999,11.9116
272,11.9031
272.999,11.8938
273.999,11.885
275,11.8768
275.999,11.8687
276.999,11.8606
277.999,11.8524
278.999,11.844
280,11.8355
280.999,11.8272
281.999,11.8186
282.999,11.8104
283.999,11.802
285,11.7943
285.999,11.7857
287,11.7758
287.999,11.7685
289,11.7595
289.999,11.7507
291,11.7438
291.999,11.7336
293,11.7265
294,11.7184
294.999,11.7083
295.999,11.7014
296.999,11.6919
298,11.6849
298.999,11.6761
300,11.6686
300.999,11.6601
302,11.6531
302.999,11.6391
303.999,11.6313
304.999,11.6328
305.999,11.6241
306.999,11.6139
307.999,11.6056
308.999,11.5979
310,11.5901
311,11.5821
312,11.5736
313,11.5664
313.999,11.5595
314.999,11.5519
315.999,11.5433
316.999,11.5356
318,11.5278
319.004,11.5193
319.999,11.5131
321,11.5053
321.999,11.4974
323,11.4888
324,11.4828
324.999,11.4751
326,11.4671
326.999,11.4606
327.999,11.4524
328.999,11.4461
330,11.4369
331.004,11.4273
331.999,11.4219
333,11.4152
334,11.4072
335,11.3986
336.003,11.3914
337,11.3828
338,11.3756
339,11.367
339.999,11.3593
340.999,11.3507
341.999,11.3426
342.999,11.3349
343.999,11.3272
344.999,11.3194
345.999,11.3118
346.999,11.3029
348,11.2959
348.999,11.2877
349.999,11.2796
351,11.2721
352.003,11.2659
353,11.2566
354,11.2477
354.999,11.2398
356,11.2335
356.999,11.2265
357.999,11.2196
359,11.2112
360,11.2039
360.999,11.1973
361.999,11.1907
362.999,11.1825
363.999,11.1751
365,11.168
365.999,11.1608
366.999,11.1541
368,11.1452
368.999,11.139
370,11.1314
370.999,11.1243
371.999,11.116
373,11.108
373.999,11.0996
374.999,11.0922
376,11.0838
376.999,11.0757
378,11.0682
379,11.0598
379.999,11.0533
380.999,11.0434
381.999,11.0358
382.999,11.0296
384,11.0203
384.999,11.0123
386,11.004
386.999,10.9975
387.999,10.99
388.999,10.9834
390,10.9759
391.004,10.9662
391.999,10.9606
392.999,10.9542
393.999,10.9469
395,10.9382
395.999,10.9321
397,10.9242
397.999,10.9167
398.999,10.9098
400,10.9025
400.999,10.8969
401.999,10.8898
403,10.8816
403.999,10.8743
404.999,10.8665
405.999,10.86
406.999,10.8525
407.999,10.8444
408.999,10.8371
409.999,10.8304
411,10.822
411.999,10.8145
412.999,10.8068
414,10.8
415,10.7921
415.999,10.7856
416.999,10.7776
418,10.7709
418.999,10.7634
419.999,10.7564
420.999,10.7481
422,10.7418
422.999,10.7351
423.999,10.7274
425,10.721
425.999,10.7132
426.999,10.7067
427.999,10.6998
428.999,10.6919
429.999,10.6843
430.999,10.677
431.999,10.6681
432.999,10.6613
433.999,10.654
434.999,10.6474
436,10.6391
436.999,10.6319
437.999,10.6255
438.999,10.6168
439.999,10.6108
440.999,10.6053
441.998,10.5974
442.999,10.5894
443.998,10.5828
444.998,10.5763
445.998,10.5684
446.998,10.5614
447.998,10.5549
448.998,10.5482
449.999,10.54
450.998,10.5331
451.998,10.527
452.999,10.5192
453.998,10.5138
454.999,10.5057
455.998,10.4991
456.998,10.492
457.999,10.4847
458.998,10.4786
459.998,10.4713
460.998,10.4636
461.999,10.4573
462.998,10.4494
463.999,10.4426
464.998,10.4351
465.998,10.4301
466.998,10.4228
467.998,10.4141
468.998,10.4085
469.999,10.4017
470.998,10.3947
471.998,10.3879
472.999,10.381
473.998,10.3753
474.998,10.3666
475.999,10.3601
476.998,10.3517
477.998,10.3456
478.998,10.3386
479.999,10.3312
480.998,10.3252
481.998,10.3175
482.998,10.3096
483.998,10.3041
484.999,10.2958
485.998,10.2889
486.998,10.2822
487.999,10.2748
488.998,10.2675
489.998,10.2608
490.999,10.2545
491.998,10.2481
492.998,10.2399
493.998,10.2346
494.999,10.2277
495.998,10.2214
496.998,10.2145
497.998,10.2074
498.999,10.2019
499.999,10.1946
500.998,10.1884
501.998,10.1815
502.998,10.1744
503.999,10.1677
504.998,10.1618
505.998,10.1549
506.998,10.1485
507.998,10.141
508.999,10.1348
509.999,10.1279
510.998,10.1209
511.998,10.1154
512.998,10.1086
513.998,10.102
514.998,10.0955
515.999,10.0892
516.999,10.0831
517.998,10.0765
